location,dimension,status,data,url,excerpt,error
"Mexicali, Mexico",Regulations,FAILED_VALIDATION,,https://www.mexicoreport.com/2025/12/amendments-to-mexicos-national-waters-law-key-considerations-for-industrial-water-concessionaires/,,"headless_fetch_error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://www.mexicoreport.com/2025/12/amendments-to-mexicos-national-waters-law-key-considerations-for-industrial-water-concessionaires/"", waiting until ""networkidle""
"
"Monterrey, Mexico",Water Stress,VERIFIED,Mexico cited as example of country experiencing water stress/shutoffs; part of 25 countries facing extremely high water stress (>80% of renewable supply used).,https://www.wri.org/insights/highest-water-stressed-countries,"Is Felt Locally, its Causes Are Increasingly Global Insights March 20, 2024 Which Countries Face the Worst Water Stress? Our data shows that 25 countries are currently exposed to extremely high water stress annually, meaning they use over 80% of their renewable water supply for irrigation, livestock, industry and domestic needs. Even a short-term drought puts these places in danger of running out of water and sometimes prompts governments to shut off the taps. We’ve already seen this scenario play out in many places around the world, such as England , India , Iran , Mexico , and South Africa . The five most water-stressed countries are Bahrain, Cyprus, Kuwait, Lebanon, Oman and Qatar. The water stress in these countries is mostly driven by low supply, paired with demand from domestic, agri",
"Monterrey, Mexico",Water Stress,VERIFIED,"Nuevo León (Monterrey's state) projected medium-high water depletion, 20-40%, per WRI Aqueduct scale.",https://mexiconewsdaily.com/news/14-mexican-states-could-face-extreme-water-stress-2030/,"ent to help mitigate the crisis. (Cuartoscuro) In assessing water availability for agricultural, domestic and industrial use, the WRI uses a rating scale from 0 to 5, with 0 representing low water stress and 5 indicating extremely high stress. Based on those indicators , the following states are projected to have extremely high water depletion: Aguascalientes, Coahuila, Colima, Chihuahua, Durango, Guanajuato, Hidalgo, Morelos, Querétaro, San Luis Potosí, Sinaloa, Sonora and Zacatecas. Additionally, six states — Jalisco, México state, Michoacán, Puebla, Tamaulipas and Tlaxcala — are expected to experience high water depletion, ranging between 40% and 80%, while Nuevo León could reach a medium-high level of depletion, between 20% and 40%. Meanwhile, Campeche, Quintana Roo, Veracruz and Yucat",
"Monterrey, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/data/aqueduct-40-country-rankings,,not_relevant
"Monterrey, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/aqueduct,,not_relevant
"Monterrey, Mexico",Incidents,VERIFIED,"Protests over water concentrated 1978-1985, involved blockading streets and kidnapping water service vehicles/personnel.",https://networks.h-net.org/node/23910/reviews/54156/klesner-bennett-politics-water-urban-protest-gender-and-power-monterrey,"e have been particularly strong in Mexico, as scholars have shown.  Monterrey itself had one of the strongest urban popular movements, the Frente Popular Tierra y Libertad, created to support those engaging in land invasions.  Bennett shows that protests over water were concentrated in the 1978-1985 period, excepting a short outburst in 1973.  The maldistribution of water services meant that protests were concentrated in poor neighborhoods (and to the extent that upper-middle-class and upper-class residents suffered water shortages, they could address their concerns to policy makers on an individual basis).  Public protests emerged in 1978, after more private attempts to achieve change had failed. They typically originated from affected neighborhoods and involved blockading streets and kid",
"Monterrey, Mexico",Incidents,VERIFIED,"Poor women in Monterrey organized protests over the 1980s water crisis, drawing national attention and prompting government response.",https://muse.jhu.edu/pub/49/monograph/book/88641,"e of poor women to the water crisis, analyzing who participated in protests, the strategies they used, and how the government responded.  And, finally, she considers the dynamics of planning water services for the private sector and the government in investment and management.  In the end, Monterrey's water services improved because power relations shifted and because poor women in Monterrey used protests to make national news out of the city's water crisis. The Politics of Water makes a significant contribution to the emerging scholarship on regional politics in Mexico and to a deeper understanding of the Monterrey region in particular.  Until recently, most scholarly writing on Mexico spoke of the national political system as a monolithic whole.  Scholars such as Vivienne Bennett are now",
"Monterrey, Mexico",Regulations,VERIFIED,Industrial parks in Monterrey (among others) must comply with strict water recycling requirements per Ampip report.,https://mexiconewsdaily.com/water-in-mexico/mexicos-national-water-law-and-industry/,"f these measures, noting that industrial parks — primarily located in Monterrey, Tijuana, Querétaro, and San Luis Potosí — must comply with strict water recycling requirements. Yet, challenges persist. According to the Ministry of Foreign Affairs in the Netherlands, only 1% of Mexico’s wastewater is recycled, with regional variations in treatment rates. Rodríguez emphasized that the federal government and private sector recently agreed to return more than 2 billion cubic meters of treated water for reuse in industries that do not require potable water, such as mining, metallurgy, and green irrigation. Historical context and the National Water Plan The current extraction of water from the aquifer exceeds natural recharge rates by 2.5 times. (Crisanta Espinosa Aguilar/Cuartoscuro) Under the",
"Monterrey, Mexico",Regulations,VERIFIED,National Water Law (LAN) established Conagua and a concession system enabling companies to access water for industrial use.,https://www.prodensa.com/insights/blog/water-management-and-industrial-development-in-mexico-a-strategic-overview,"n , modernized Mexico’s water regulation by replacing the previous system of allocations (public use) and concessions (commercial use) with a unified framework focused on economic liberalization. It also created the National Water Commission (Conagua) as the primary authority and established a concession system that enabled companies to access water for industrial purposes. CONAGUA has played a fundamental role in developing public policies to guarantee access to drinking water, protect aquatic ecosystems, and prevent water-related natural disasters. To analyze the evolution of the LAN, its impact on industry, and the challenges it faces in the context of increasing water scarcity, it is essential to consider the 2024-2030 National Water Plan (PNH) , recently introduced by the federal gove",
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://www.wri.org/aqueduct/help-center/water-risk-indicators,,not_relevant
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://www.wri.org/data/aqueduct-water-stress-projections-data,,not_relevant
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://developers.google.com/earth-engine/datasets/catalog/WRI_Aqueduct_Water_Risk_V4_baseline_monthly,,not_relevant
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://developers.google.com/earth-engine/datasets/catalog/WRI_Aqueduct_Water_Risk_V4_future_annual,,not_relevant
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://developers.google.com/earth-engine/datasets/catalog/WRI_Aqueduct_Water_Risk_V4_baseline_annual,,not_relevant
"Chandler, Arizona, USA",Incidents,VERIFIED,"Describes a high school ICE protest in Chandler, AZ where an off-duty officer confronted students.",https://www.abc15.com/news/local-news/investigations/body-camera-video-shows-phoenix-sgt-at-high-school-protest-wanted-students-to-assault-him,"Let's Talk Things To Do Operation Safe Roads Smart Shopper The Spot - Arizona 61 Contests DirecTV has removed ABC15 Arizona – Here’s how to keep watching News Local News Investigations Actions Facebook Tweet Email Body camera video shows Phoenix Sgt. at high school protest, wanted students to assault him Video shows the off-duty officer telling Chandler PD his goal was to get kids in jail if they wanted to break the law Prev Next Body camera video now shows the moments an off-duty Phoenix Police sergeant showed up to a high school ICE protest armed and wearing a mask.  The video released by the Maricopa County Attorney’s Office shows the moments when Phoenix Sgt. Dusten Mullen told a Chandler police officer that his goal was to get kids in jail if they wanted to break the law.  “My plan is",
"Chandler, Arizona, USA",Incidents,FAILED_VALIDATION,,https://www.fox10phoenix.com/news/video-shows-phoenix-police-sergeants-encounter-students-anti-ice-protest,,not_relevant
"Chandler, Arizona, USA",Incidents,FAILED_VALIDATION,,https://www.azfamily.com/2026/04/09/armed-masked-man-hamilton-high-protest-identified-phoenix-police-sergeant/,,not_relevant
"Chandler, Arizona, USA",Incidents,FAILED_VALIDATION,,https://www.12news.com/article/news/local/valley/phoenix-officer-on-leave-for-involvement-chandler-protest-police-chief-says/75-0ed9ed46-4120-4963-a906-806377d625c1,,not_relevant
"Chandler, Arizona, USA",Incidents,FAILED_VALIDATION,,https://www.abc15.com/news/region-southeast-valley/mesa/police-two-juveniles-arrested-after-anti-ice-protest-in-mesa,,not_relevant
"Chandler, Arizona, USA",Regulations,VERIFIED,"Chandler industrial wastewater discharge governed by 40 CFR Part 403, AZ Admin Code Title 18, and City Code Ch. 50-13, 51-6, 51-13, 51-24, 51-25.",https://www.chandleraz.gov/residents/water/water-quality/industrial-pretreatment-program/federal-standards,"Act, Title 40, Code of Federal Regulations (40 CFR) Part 403 “General Pretreatment Regulations for Existing and New Sources of Pollution,” Arizona Administrative Code Title 18 “Environmental Quality,” Chandler City Code Chapters 50-13, 51-6, 51-13, 51-24, 51-25, and governs discharges into a POTW by any Industrial User, even if the Industrial Users or POTW is located outside of the municipal boundaries of the City. Federal Pretreatment Categories 40 CFR § Aluminum Forming 467 Battery Manufacturing 461 Carbon Black Manufacturing 458 Centralized Waste Treatment 437 Coil Coating 465 Concentrated Animal Feeding Operations (Feedlots) 412 Copper Forming 468 Electrical & Electronic Components (Semiconductors) 469 Electroplating 413 Fertilizer Manufacturing 418 Glass Manufacturing 426 Grain Mills",
"Chandler, Arizona, USA",Regulations,VERIFIED,"Chandler's Industrial Pretreatment Program, adopted via Ordinance 4503/City Code Ch. 51-24, regulates industrial wastewater discharge per federal/state law.",https://www.chandleraz.gov/residents/water/water-quality/industrial-pretreatment-program,"s Water Water Quality Industrial Pretreatment Program The purpose of the Industrial Pretreatment Program (IPP) is to protect the Publicly Owned Treatment Works (POTW) – the sanitary sewer system that conveys and the treatment plants that receive wastewater – from pollutants that may cause harm or interfere with the operation of the POTW, and to protect the health and safety of the public and the environment. The program accomplishes this by implementing and enforcing Federal Categorical Standards, State Regulations, and limits developed locally authorized by the Clean Water Act.  Ordinance No. 4503 under Chandler City Code Ch. 51-24 formally adopted the City of Chandler’s Wastewater Pretreatment Program on Nov. 4, 2013. The main components of the IPP include: Development of technically bas",
