location,dimension,status,data,url,excerpt,error,low_relevance,critique_reason
"Monterrey, Mexico",Water Stress,VERIFIED,"Monterrey is in Nuevo León, projected to reach medium-high water depletion (20-40%) by 2030 per WRI Aqueduct.",https://mexiconewsdaily.com/news/14-mexican-states-could-face-extreme-water-stress-2030/,"ent to help mitigate the crisis. (Cuartoscuro) In assessing water availability for agricultural, domestic and industrial use, the WRI uses a rating scale from 0 to 5, with 0 representing low water stress and 5 indicating extremely high stress. Based on those indicators , the following states are projected to have extremely high water depletion: Aguascalientes, Coahuila, Colima, Chihuahua, Durango, Guanajuato, Hidalgo, Morelos, Querétaro, San Luis Potosí, Sinaloa, Sonora and Zacatecas. Additionally, six states — Jalisco, México state, Michoacán, Puebla, Tamaulipas and Tlaxcala — are expected to experience high water depletion, ranging between 40% and 80%, while Nuevo León could reach a medium-high level of depletion, between 20% and 40%. Meanwhile, Campeche, Quintana Roo, Veracruz and Yucat",,False,"Excerpt directly states Nuevo León (Monterrey's state) projected medium-high depletion 20-40%, matching WRI Aqueduct scale claim."
"Monterrey, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/data/aqueduct-40-country-rankings,,not_relevant,,
"Monterrey, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/aqueduct,,not_relevant,,
"Monterrey, Mexico",Water Stress,FAILED_VALIDATION,,https://www.wri.org/data/aqueduct-water-risk-atlas,,not_relevant,,
"Monterrey, Mexico",Water Stress,FAILED_VALIDATION,,https://developers.google.com/earth-engine/datasets/catalog/WRI_Aqueduct_Water_Risk_V4_future_annual,,not_relevant,,
"Monterrey, Mexico",Incidents,VERIFIED,"Water protests concentrated 1978-1985, involving street blockades and kidnapping of water service vehicles/personnel in poor neighborhoods.",https://networks.h-net.org/node/23910/reviews/54156/klesner-bennett-politics-water-urban-protest-gender-and-power-monterrey,"e have been particularly strong in Mexico, as scholars have shown.  Monterrey itself had one of the strongest urban popular movements, the Frente Popular Tierra y Libertad, created to support those engaging in land invasions.  Bennett shows that protests over water were concentrated in the 1978-1985 period, excepting a short outburst in 1973.  The maldistribution of water services meant that protests were concentrated in poor neighborhoods (and to the extent that upper-middle-class and upper-class residents suffered water shortages, they could address their concerns to policy makers on an individual basis).  Public protests emerged in 1978, after more private attempts to achieve change had failed. They typically originated from affected neighborhoods and involved blockading streets and kid",,False,"Excerpt directly discusses Monterrey water protests 1978-1985, poor neighborhoods, street blockades, matching claim."
"Monterrey, Mexico",Incidents,FAILED_VALIDATION,,https://www.tandfonline.com/doi/pdf/10.1080/07900629849114,,"headless_fetch_error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://www.tandfonline.com/doi/pdf/10.1080/07900629849114"", waiting until ""networkidle""
",,
"Monterrey, Mexico",Incidents,FAILED_VALIDATION,,https://crisis24.garda.com/alerts/2023/09/mexico-protest-scheduled-in-monterrey-nuevo-leon-on-sept-25-to-demand-better-access-to-water,,not_relevant,,
"Monterrey, Mexico",Incidents,FAILED_VALIDATION,,https://www.jstor.org/stable/j.ctt5hjnb9,,not_relevant,,
"Monterrey, Mexico",Incidents,FAILED_VALIDATION,,https://www.tandfonline.com/doi/abs/10.1080/07900629849114,,"headless_fetch_error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://www.tandfonline.com/doi/abs/10.1080/07900629849114"", waiting until ""networkidle""
",,
"Monterrey, Mexico",Regulations,VERIFIED,Industrial parks in Monterrey must comply with strict water recycling requirements per Ampip report.,https://mexiconewsdaily.com/water-in-mexico/mexicos-national-water-law-and-industry/,"f these measures, noting that industrial parks — primarily located in Monterrey, Tijuana, Querétaro, and San Luis Potosí — must comply with strict water recycling requirements. Yet, challenges persist. According to the Ministry of Foreign Affairs in the Netherlands, only 1% of Mexico’s wastewater is recycled, with regional variations in treatment rates. Rodríguez emphasized that the federal government and private sector recently agreed to return more than 2 billion cubic meters of treated water for reuse in industries that do not require potable water, such as mining, metallurgy, and green irrigation. Historical context and the National Water Plan The current extraction of water from the aquifer exceeds natural recharge rates by 2.5 times. (Crisanta Espinosa Aguilar/Cuartoscuro) Under the",,False,"Excerpt names Monterrey among locations where industrial parks must follow strict water recycling rules, directly supporting claim."
"Monterrey, Mexico",Regulations,VERIFIED,National Water Law established Conagua and a concession system allowing companies to access water for industrial purposes.,https://www.prodensa.com/insights/blog/water-management-and-industrial-development-in-mexico-a-strategic-overview,"n , modernized Mexico’s water regulation by replacing the previous system of allocations (public use) and concessions (commercial use) with a unified framework focused on economic liberalization. It also created the National Water Commission (Conagua) as the primary authority and established a concession system that enabled companies to access water for industrial purposes. CONAGUA has played a fundamental role in developing public policies to guarantee access to drinking water, protect aquatic ecosystems, and prevent water-related natural disasters. To analyze the evolution of the LAN, its impact on industry, and the challenges it faces in the context of increasing water scarcity, it is essential to consider the 2024-2030 National Water Plan (PNH) , recently introduced by the federal gove",,False,"Excerpt covers national water law/Conagua, relevant to industrial water regs, but not specific to Monterrey."
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://www.wri.org/data/aqueduct-projected-water-stress-country-rankings,,not_relevant,,
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://developers.google.com/earth-engine/datasets/catalog/WRI_Aqueduct_Water_Risk_V4_baseline_monthly,,not_relevant,,
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://www.wri.org/aqueduct,,not_relevant,,
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://developers.google.com/earth-engine/datasets/catalog/WRI_Aqueduct_Water_Risk_V4_baseline_annual,,not_relevant,,
"Chandler, Arizona, USA",Water Stress,FAILED_VALIDATION,,https://www.wri.org/aqueduct/help-center/water-risk-indicators,,not_relevant,,
"Chandler, Arizona, USA",Incidents,VERIFIED,"Chandler anti-ICE protest where student splashed water/ice on off-duty officer, not water-related crisis but protest incident.",https://www.fox10phoenix.com/news/video-shows-phoenix-police-sergeants-encounter-students-anti-ice-protest,"s out On April 9, we obtained new video that shows what the sergeant claimed was an assault. As mentioned earlier, Chandler Police initially said a teenage girl was arrested for throwing a water bottle at Mullen, but the video shows Mullen was only splashed with water and ice. In one video taken during the protest, Mullen says, ""Do not touch me."" ""No one’s touching you. I have video,"" a protester replied. What She Said: Megan Craghead supports her 13-year-old daughter’s right to free speech, and was with her on the day of the protest, as Hamilton High School students walked out to protest ICE. Craghead's daughter was not the teenager who was detained by Chandler Police. ""They really were doing a good job of following the laws,"" Craghead said. Craghead recalls a peaceful march for a couple",,False,"Excerpt describes an ICE protest incident in Chandler with water/ice splashed on officer; matches claim and location, relevant as protest report though not a water crisis."
"Chandler, Arizona, USA",Incidents,VERIFIED,Describes protest incident in Chandler where a teenage girl threw water at an armed man during a school walkout/protest.,https://www.azfamily.com/2026/04/09/armed-masked-man-hamilton-high-protest-identified-phoenix-police-sergeant/,"lice reports reveal Mullen refused to leave and told officers he had called other armed individuals to come to the scene. “Because others may have been involved and contacted and agreed to create a situation, that’s essentially conspiracy,” Gennaco said. Sergeant allegedly planned to provoke assault According to the report, Mullen told officers his plan was to let students assault him so they could be arrested. Moments later, a teenage girl threw water at Mullen and was arrested for assault and disorderly conduct. The Maricopa County Attorney’s Office declined to file those charges. “To try to orchestrate a conflict with juveniles, in my view, is beyond the pale,” Gennaco said. Mullen’s attorney said he is cooperating with the internal investigation. A Phoenix police spokesperson confirmed",,True,"Excerpt describes a Phoenix police incident with no Chandler location confirmed; also not water-related crisis, just water thrown at a person."
"Chandler, Arizona, USA",Incidents,FAILED_VALIDATION,,https://www.abc15.com/news/local-news/investigations/body-camera-video-shows-phoenix-sgt-at-high-school-protest-wanted-students-to-assault-him,,not_relevant,,
"Chandler, Arizona, USA",Regulations,VERIFIED,"Chandler's Industrial Pretreatment Program follows 40 CFR Part 403, Arizona Admin Code Title 18, and Chandler City Code Ch. 50-13, 51-6, 51-13, 51-24, 51-25 governing industrial wastewater discharge.",https://www.chandleraz.gov/residents/water/water-quality/industrial-pretreatment-program/federal-standards,"Act, Title 40, Code of Federal Regulations (40 CFR) Part 403 “General Pretreatment Regulations for Existing and New Sources of Pollution,” Arizona Administrative Code Title 18 “Environmental Quality,” Chandler City Code Chapters 50-13, 51-6, 51-13, 51-24, 51-25, and governs discharges into a POTW by any Industrial User, even if the Industrial Users or POTW is located outside of the municipal boundaries of the City. Federal Pretreatment Categories 40 CFR § Aluminum Forming 467 Battery Manufacturing 461 Carbon Black Manufacturing 458 Centralized Waste Treatment 437 Coil Coating 465 Concentrated Animal Feeding Operations (Feedlots) 412 Copper Forming 468 Electrical & Electronic Components (Semiconductors) 469 Electroplating 413 Fertilizer Manufacturing 418 Glass Manufacturing 426 Grain Mills",,False,Excerpt directly cites the specific regulatory codes governing Chandler's industrial wastewater discharge program.
"Chandler, Arizona, USA",Regulations,VERIFIED,"Chandler's Industrial Pretreatment Program (Ordinance 4503, City Code Ch. 51-24) regulates industrial wastewater discharge to protect POTW.",https://www.chandleraz.gov/residents/water/water-quality/industrial-pretreatment-program,"s Water Water Quality Industrial Pretreatment Program The purpose of the Industrial Pretreatment Program (IPP) is to protect the Publicly Owned Treatment Works (POTW) – the sanitary sewer system that conveys and the treatment plants that receive wastewater – from pollutants that may cause harm or interfere with the operation of the POTW, and to protect the health and safety of the public and the environment. The program accomplishes this by implementing and enforcing Federal Categorical Standards, State Regulations, and limits developed locally authorized by the Clean Water Act.  Ordinance No. 4503 under Chandler City Code Ch. 51-24 formally adopted the City of Chandler’s Wastewater Pretreatment Program on Nov. 4, 2013. The main components of the IPP include: Development of technically bas",,False,Excerpt directly names Chandler's ordinance/code section and describes its purpose regulating industrial wastewater discharge to protect the POTW.
